# Per-callsign decode summary — last 36 h
# Range_km is great-circle distance from operator's grid (FN42EV).
# Sorted by classification, then n_decodes desc.
callsign   grid    rng_km class          n_dec  n_per  n_alltime  SNR_min   p25   med   p75   max
------------------------------------------------------------------------------------------------------
K9NW       EM79      1179 TRUE_PING          8      5          5       -8    -5    -4    -4    +2
K8IJ       EM78      1227 TRUE_PING          4      3          3       -1    +1    +2    +3    +5
N3HR       FN10       520 TRUE_PING          4      1          1       +0    +5    +8    +9   +10
W5DM       —            — TRUE_PING          3      3          3       -7    -2    +2    +3    +4
KA2UQW     —            — TRUE_PING          3      3          3       -7    -2    +2    +3    +4
WQ0P       —            — TRUE_PING          3      2          2       +0    +0    +1    +2    +2
WB8ART     —            — TRUE_PING          3      2          2       -3    -2    -2    +2    +7
W8NGA      —            — TRUE_PING          2      1          1       -2    -2    -2    -1    -1
2E6QDW     —            — TRUE_PING          1      1          1       -5    -5    -5    -5    -5
BT1NFE/R   GO32      1747 TRUE_PING          1      1          1       -5    -5    -5    -5    -5
WB8TDG     EM89      1023 TRUE_PING          1      1          3       +5    +5    +5    +5    +5
N0LL       —            — TRUE_PING          1      1          1       +0    +0    +0    +0    +0
WB4HIE     —            — TRUE_PING          1      1          4       -5    -5    -5    -5    -5
KG4ERR     EM92      1418 TRUE_PING          1      1          1       -3    -3    -3    -3    -3
N4II       EM70      1818 WEAK_FADING       70     16         16       -7    +0    +0    +1    +7
K3SWZ      RR73      5555 WEAK_FADING       51     25         27       -6    -1    +1    +4   +15
NN4NT      EM64      1624 WEAK_FADING       47     18         18       -8    -2    +0    +2    +8
N4EMM      EM82      1526 WEAK_FADING       24     10         28       -4    -1    +0    +2    +6
K2CKA      FM06       950 WEAK_FADING       22      8          8       -5    -3    -1    +0    +7
WV9L       —            — WEAK_FADING       21      6          6       -4    +0    +0    +2    +5
KQ4SY      EM85      1277 WEAK_FADING       20      9         15       -3    +0    +2    +3    +6
N2QFN      FN12       441 WEAK_FADING       14      8         12       -3    +1   +10   +13   +17
K5VIP      —            — WEAK_FADING       14      6         10       -3    -1    -1    +2    +5
N0LL/P     —            — WEAK_FADING       13      9          9       -2    -1    +2    +6    +9
AA2Q       EN60      1302 WEAK_FADING       12      5          9       -3    -0    +0    +4    +8
KB9TVR     —            — WEAK_FADING       10      5         24       -3    +1    +4    +6   +10
N4WLO      EM50      2066 WEAK_FADING        9      8          8       -5    -1    +0    +3    +3
AF2F       FN20       387 WEAK_FADING        8      5          8       -4    -0    +2    +5    +7
WB4SIA     —            — WEAK_FADING        8      4          6       -4    -2    -2    -1    +0
K4MY       EM74      1486 WEAK_FADING        5      2         20       -4    -3    -1    +0    +1
N8LRG      EN80       980 WEAK_FADING        3      2         10       -3    -2    -2    -2    -1
N4XD       RR73      5555 WEAK_FADING        3      3         26       -5    -4    -3    -2    -2
NZ3M       FN10       520 WEAK_FADING        2      2          6       +6    +6    +7    +8    +8
K5WBM      —            — WEAK_FADING        2      2          9       -4    -4    -3    -2    -2
KF2ZQ      FN30       290 WEAK_FADING        1      1         14       -1    -1    -1    -1    -1
KO4PRE     RR73      5555 WEAK_FADING        1      1          6       +0    +0    +0    +0    +0
KE8Y       —            — WEAK_FADING        1      1          8       +0    +0    +0    +0    +0
N4JP       FM14      1043 CONT_PROP        243    142        391       -8    +0    +3    +6   +24
N8XY       EN90       822 CONT_PROP        151     62         62       -6    -1    +0    +3   +15
WA2FZW     FN20       387 CONT_PROP        115     57        508       -4    +0    +2    +4   +17
N8CLZ      EN82       930 CONT_PROP         90     30         71       -7    -2    +0    +3   +15
N9AGC      EN91       787 CONT_PROP         80     24         68       -8    +0    +0    +0    +6
KA6U       EL87      1995 CONT_PROP         54     19         38       -8    -4    -1    +0    +8
K2IL       EL97      1909 CONT_PROP         45     22         48       -5    -2    +0    +3    +9
KD9VV      EN71      1111 CONT_PROP         40     20        223       -7    -3    +0    +1   +15
W4UCK      EM74      1486 CONT_PROP         32     20        132       -3    -1    +6   +12   +17
WB4JWM     EM83      1439 CONT_PROP         26      9         43       -5    +1    +4    +8   +15
NN4X       EL98      1808 CONT_PROP         24     12         46       -1    +4    +6    +7   +15
KR1ST      FN21       318 CONT_PROP         24     20         48       -7    -1    +1    +6   +18
K0TPP      EM48      1701 CONT_PROP         19     10        198       -5    -2    -1    +4    +8
N4SIX      FM13      1145 CONT_PROP         14     10         47       -4    -1    +0    +1    +6
AD4TJ      FM08       790 CONT_PROP          9      3         75       -3    +0    +1    +2    +4
VE1SKY     FN74       561 CONT_PROP          7      5         41       -3    +0    +4    +4    +7
W4IMD      EM84      1356 CONT_PROP          5      3        217       -3    -2    -1    +1    +2
W9VHF      EN71      1111 CONT_PROP          3      2        169       +3    +4    +4    +4    +5
KC3NDW     FN21       318 CONT_PROP          3      3         44       -8    -7    -6    +0    +7
K2BLA      EL99      1708 CONT_PROP          1      1         46       -1    -1    -1    -1    -1
WA4CQG     EM72      1646 CONT_PROP          1      1        159       -4    -4    -4    -4    -4
N1KWF      FN32       121 STRONG_LOCAL     436    100       1116       -8    +0    +0    +1   +15
K2GV       FN30       290 STRONG_LOCAL     178     57        108       -8    -2    -1    +1   +13
KB1HY      FN31       192 STRONG_LOCAL     171     60        277       -8    -3    -1    +0   +10
AC1SN      FN42        67 STRONG_LOCAL     124     48         48       -8    -4    -3    -1    +0
K8NTK      —            — STRONG_LOCAL      86     22         58       -6    +0    +0    +0    +5
W1BS       FN32       121 STRONG_LOCAL      52     27         45       -8    -4    -2    +0    +8
KA1W       FN31       192 STRONG_LOCAL      51     28        249       -8    -5    -2    +0    +4
VE3RA      —            — STRONG_LOCAL      37     18         68       -5    +2    +5    +9   +24
KB1MGI     FN42        67 STRONG_LOCAL      35     21        363       -8    -4    -3    -2    +3
N0AN       —            — STRONG_LOCAL      32     19        253       -8    -3    -0    +2    +7
VA3SK      —            — STRONG_LOCAL      16     12         32       -3    +3    +4    +5    +9
W8JGU      —            — STRONG_LOCAL      10      6         48       -3    -2    +0    +6   +12
