wav,wsjtx_msgs,burst_idx,t_start_s,t_end_s,n_frames,centre_idx,f_hat_hz,sf_peak,ab_peak,greedy_peak,sf_line_snr,ab_line_snr,greedy_line_snr,ab_gain_db,greedy_gain_db,n_included,included
260511_031845.wav,,0,13.450,13.590,1,0,+0.00,78,78,78,2.16,2.16,2.16,+0.00,+0.00,1,0
260511_091230.wav,N1KWF K0TPP R+09,0,7.620,8.240,8,3,+103.31,418,220,1071,10.02,2.44,11.21,-5.59,+8.17,4,1 3 5 7
260511_092430.wav,N2QFN K0TPP R+12,0,13.380,13.470,1,0,+0.00,106,106,106,2.70,2.70,2.70,+0.00,+0.00,1,0
260511_093000.wav,CQ KD9VV EN71|KA1EME K0TPP 73,0,12.310,12.420,1,0,+0.00,164,164,164,3.75,3.75,3.75,+0.00,+0.00,1,0
260511_093130.wav,CQ KD9VV EN71,0,4.260,4.390,1,0,+0.00,139,139,139,3.97,3.97,3.97,+0.00,+0.00,1,0
260511_093130.wav,CQ KD9VV EN71,1,4.510,4.720,2,1,+99.06,179,311,179,7.26,7.25,7.26,+4.77,+0.00,1,1
260511_093130.wav,CQ KD9VV EN71,2,4.730,4.850,1,0,+0.00,111,111,111,4.28,4.28,4.28,+0.00,+0.00,1,0
260511_102530.wav,CQ N8XY EN90,0,8.070,8.280,2,1,+104.86,313,336,313,8.75,6.04,8.75,+0.63,+0.00,1,1
260511_103145.wav,CQ K2GV FN30,0,8.540,8.680,1,0,+0.00,112,112,112,5.26,5.26,5.26,+0.00,+0.00,1,0
260511_103400.wav,N8XY N4JP FM14,0,13.080,13.190,1,0,+0.00,118,118,118,3.21,3.21,3.21,+0.00,+0.00,1,0
260511_103600.wav,KB8OTK N4JP FM14,0,5.320,5.510,2,0,+0.00,180,374,180,5.45,4.94,5.45,+6.36,+0.00,1,0
260511_103730.wav,KB8OTK N4JP FM14,0,1.890,2.050,2,0,+0.00,164,247,247,3.96,4.63,4.63,+3.52,+3.52,2,0 1
260511_103830.wav,KB8OTK N4JP FM14,0,5.230,5.330,1,0,+0.00,141,141,141,2.67,2.67,2.67,+0.00,+0.00,1,0
260511_103900.wav,WA2FZW W9VHF EN71,0,5.610,5.800,2,0,+0.00,152,309,309,5.20,7.83,7.83,+6.20,+6.20,2,0 1
260511_103900.wav,WA2FZW W9VHF EN71,1,13.930,14.020,1,0,+0.00,85,85,85,2.76,2.76,2.76,+0.00,+0.00,1,0
260511_103930.wav,KB8OTK N4JP FM14,0,2.390,2.480,1,0,+0.00,108,108,108,2.52,2.52,2.52,+0.00,+0.00,1,0
260511_103930.wav,KB8OTK N4JP FM14,2,4.800,4.940,1,0,+0.00,82,82,82,2.99,2.99,2.99,+0.00,+0.00,1,0
260511_103930.wav,KB8OTK N4JP FM14,3,5.340,5.660,4,3,+129.83,136,92,136,4.85,2.72,4.85,-3.40,+0.00,1,3
260511_103930.wav,KB8OTK N4JP FM14,4,11.820,13.540,23,18,+130.29,291,131,379,3.93,2.44,5.19,-6.94,+2.29,6,0 3 14 18 20 22
260511_103930.wav,KB8OTK N4JP FM14,5,14.430,14.930,6,0,+131.22,152,183,392,4.01,3.09,4.20,+1.63,+8.24,2,0 5
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,0,9.460,9.780,4,2,+103.89,274,213,274,10.96,2.93,10.96,-2.21,+0.00,1,2
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,1,14.650,14.750,1,0,+0.00,112,112,112,3.72,3.72,3.72,+0.00,+0.00,1,0
260511_104130.wav,KB8OTK N4JP FM14,1,5.880,5.980,1,0,+0.00,129,129,129,3.46,3.46,3.46,+0.00,+0.00,1,0
260511_104130.wav,KB8OTK N4JP FM14,2,6.120,6.250,1,0,+0.00,140,140,140,2.97,2.97,2.97,+0.00,+0.00,1,0
260511_104130.wav,KB8OTK N4JP FM14,3,6.330,6.470,1,0,+0.00,121,121,121,3.49,3.49,3.49,+0.00,+0.00,1,0
260511_104130.wav,KB8OTK N4JP FM14,4,6.570,6.860,4,2,+0.00,147,313,147,4.48,3.67,4.48,+6.54,+0.00,1,2
260511_104130.wav,KB8OTK N4JP FM14,5,7.370,7.510,1,0,+0.00,94,94,94,2.98,2.98,2.98,+0.00,+0.00,1,0
260511_104130.wav,KB8OTK N4JP FM14,6,7.610,7.750,1,0,+0.00,112,112,112,4.19,4.19,4.19,+0.00,+0.00,1,0
260511_104130.wav,KB8OTK N4JP FM14,7,7.830,7.960,1,0,+0.00,119,119,119,2.96,2.96,2.96,+0.00,+0.00,1,0
260511_104230.wav,KB8OTK N4JP FM14,0,11.330,11.410,1,0,+0.00,203,203,203,2.64,2.64,2.64,+0.00,+0.00,1,0
260511_104300.wav,KB8OTK N4JP FM14|N2QFN K0TPP RR73,0,7.060,8.030,13,10,+0.00,169,146,423,3.71,2.10,4.04,-1.26,+7.96,3,6 7 10
260511_104300.wav,KB8OTK N4JP FM14|N2QFN K0TPP RR73,1,8.610,8.770,2,0,+0.00,106,122,106,2.28,2.17,2.28,+1.17,+0.00,1,0
260511_104300.wav,KB8OTK N4JP FM14|N2QFN K0TPP RR73,2,8.910,9.180,3,2,+105.96,176,301,176,7.17,6.25,7.17,+4.66,+0.00,1,2
260511_104330.wav,KB8OTK N4JP FM14,0,13.170,13.290,1,0,+0.00,124,124,124,3.52,3.52,3.52,+0.00,+0.00,1,0
260511_104430.wav,KB8OTK N4JP FM14,0,9.290,9.440,2,1,+0.00,111,194,194,3.01,3.10,3.10,+4.84,+4.84,2,0 1
260511_104500.wav,KA1EME W9VHF 73,0,14.460,14.540,1,0,+0.00,112,112,112,5.37,5.37,5.37,+0.00,+0.00,1,0
260511_105345.wav,CQ WA2FZW FN20,0,5.070,5.150,1,0,+0.00,106,106,106,3.63,3.63,3.63,+0.00,+0.00,1,0
260511_105800.wav,KF2ZQ N4JP FM14,0,3.030,3.160,1,0,+0.00,129,129,129,3.57,3.57,3.57,+0.00,+0.00,1,0
260511_105800.wav,KF2ZQ N4JP FM14,1,3.170,3.510,4,2,+0.00,149,166,202,3.58,3.23,3.64,+0.93,+2.61,2,1 2
260511_110130.wav,N0AN N1KWF R+02,0,0.300,0.390,1,0,+0.00,136,136,136,3.33,3.33,3.33,+0.00,+0.00,1,0
260511_110145.wav,N0AN N1KWF R+02,0,1.190,1.280,1,0,+0.00,86,86,86,3.49,3.49,3.49,+0.00,+0.00,1,0
260511_110145.wav,N0AN N1KWF R+02,1,4.820,4.990,2,1,+0.00,105,108,105,5.46,2.14,5.46,+0.19,+0.00,1,1
260511_110415.wav,N0AN N1KWF 73,0,0.960,1.090,1,0,+0.00,121,121,121,3.43,3.43,3.43,+0.00,+0.00,1,0
260511_110415.wav,N0AN N1KWF 73,1,1.270,1.460,2,1,+0.00,146,83,146,6.16,2.01,6.16,-4.88,+0.00,1,1
260511_110415.wav,N0AN N1KWF 73,2,1.570,1.720,2,1,+0.00,111,90,111,5.09,2.59,5.09,-1.81,+0.00,1,1
260511_111030.wav,CQ N4JP FM14,0,11.740,11.910,2,0,+0.00,163,207,163,3.27,2.11,3.27,+2.09,+0.00,1,0
260511_111230.wav,VA3TO N4JP R+06,0,11.340,11.460,1,0,+0.00,172,172,172,4.20,4.20,4.20,+0.00,+0.00,1,0
260511_111330.wav,VA3TO N4JP R+06,0,4.120,4.210,1,0,+0.00,116,116,116,3.71,3.71,3.71,+0.00,+0.00,1,0
260511_111400.wav,VA3TO N4JP R+06,0,1.010,1.140,1,0,+0.00,101,101,101,3.35,3.35,3.35,+0.00,+0.00,1,0
260511_111500.wav,VA3TO N4JP R+06,0,4.290,4.420,1,0,+0.00,106,106,106,3.19,3.19,3.19,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,0,3.320,3.430,1,0,+127.38,155,155,155,5.23,5.23,5.23,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,1,3.550,3.630,1,0,+125.03,146,146,146,5.20,5.20,5.20,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,3,4.380,4.500,1,0,+125.81,210,210,210,5.11,5.11,5.11,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,4,4.550,4.680,1,0,+126.64,200,200,200,4.31,4.31,4.31,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,5,4.970,5.090,1,0,+125.73,168,168,168,5.14,5.14,5.14,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,6,5.680,5.770,1,0,+125.73,161,161,161,5.16,5.16,5.16,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,10,9.940,10.020,1,0,+0.00,116,116,116,5.61,5.61,5.61,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,12,10.950,11.030,1,0,+0.00,121,121,121,4.99,4.99,4.99,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,13,11.790,11.890,1,0,+125.89,171,171,171,4.15,4.15,4.15,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,14,12.410,12.490,1,0,+0.00,108,108,108,5.16,5.16,5.16,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,15,12.880,12.980,1,0,+127.58,168,168,168,4.72,4.72,4.72,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,16,13.070,13.150,1,0,+128.83,155,155,155,4.74,4.74,4.74,+0.00,+0.00,1,0
260511_111530.wav,VA3TO N4JP R+06,17,13.220,14.250,14,9,+129.17,191,91,500,5.31,2.65,5.61,-6.48,+8.34,3,3 9 13
260511_111530.wav,VA3TO N4JP R+06,18,14.450,14.910,6,0,+126.77,179,162,383,4.07,3.78,4.32,-0.85,+6.59,3,0 1 4
260511_111600.wav,VA3TO N4JP R+06,1,4.390,4.480,1,0,+0.00,118,118,118,3.95,3.95,3.95,+0.00,+0.00,1,0
260511_111600.wav,VA3TO N4JP R+06,2,5.380,5.500,1,0,+127.47,169,169,169,4.18,4.18,4.18,+0.00,+0.00,1,0
260511_111600.wav,VA3TO N4JP R+06,3,5.570,5.690,1,0,+0.00,130,130,130,4.51,4.51,4.51,+0.00,+0.00,1,0
260511_111600.wav,VA3TO N4JP R+06,4,5.760,5.850,1,0,+0.00,123,123,123,4.68,4.68,4.68,+0.00,+0.00,1,0
