wav,burst_idx,step_type,step,line_snr_before,line_snr_after,delta
260511_091230.wav,0,signal,1,7.194,2.255,-4.939
260511_091230.wav,0,signal,2,2.255,4.743,+2.488
260511_091230.wav,0,signal,3,4.743,3.191,-1.552
260511_091230.wav,0,signal,4,3.191,3.294,+0.103
260511_091230.wav,0,signal,5,3.294,2.436,-0.858
260511_091230.wav,0,signal,6,2.436,2.320,-0.116
260511_091230.wav,0,signal,7,2.320,2.598,+0.277
260511_091230.wav,0,noise,1,7.194,5.926,-1.268
260511_091230.wav,0,noise,2,7.194,5.420,-1.774
260511_091230.wav,0,noise,3,7.194,4.882,-2.312
260511_091230.wav,0,noise,4,7.194,5.754,-1.440
260511_091230.wav,0,noise,5,7.194,6.064,-1.130
260511_091230.wav,0,noise,6,7.194,5.108,-2.086
260511_091230.wav,0,noise,7,7.194,4.382,-2.813
260511_091230.wav,0,noise,8,7.194,5.080,-2.114
260511_091230.wav,0,noise,9,7.194,5.833,-1.361
260511_091230.wav,0,noise,10,7.194,4.904,-2.290
260511_091230.wav,0,noise,11,7.194,4.952,-2.243
260511_091230.wav,0,noise,12,7.194,4.811,-2.383
260511_091230.wav,0,noise,13,7.194,5.807,-1.387
260511_091230.wav,0,noise,14,7.194,5.370,-1.825
260511_091230.wav,0,noise,15,7.194,5.705,-1.489
260511_091230.wav,0,noise,16,7.194,4.776,-2.418
260511_091230.wav,0,noise,17,7.194,5.679,-1.516
260511_091230.wav,0,noise,18,7.194,4.703,-2.491
260511_091230.wav,0,noise,19,7.194,5.284,-1.910
260511_091230.wav,0,noise,20,7.194,5.057,-2.137
260511_103930.wav,3,signal,1,3.054,3.435,+0.382
260511_103930.wav,3,signal,2,3.435,2.671,-0.764
260511_103930.wav,3,signal,3,2.671,2.729,+0.058
260511_103930.wav,3,noise,1,3.054,2.445,-0.609
260511_103930.wav,3,noise,2,3.054,2.619,-0.435
260511_103930.wav,3,noise,3,3.054,3.130,+0.077
260511_103930.wav,3,noise,4,3.054,2.495,-0.558
260511_103930.wav,3,noise,5,3.054,2.072,-0.981
260511_103930.wav,3,noise,6,3.054,2.250,-0.803
260511_103930.wav,3,noise,7,3.054,2.882,-0.172
260511_103930.wav,3,noise,8,3.054,3.306,+0.252
260511_103930.wav,3,noise,9,3.054,2.428,-0.625
260511_103930.wav,3,noise,10,3.054,3.030,-0.023
260511_103930.wav,3,noise,11,3.054,3.042,-0.011
260511_103930.wav,3,noise,12,3.054,2.476,-0.578
260511_103930.wav,3,noise,13,3.054,3.301,+0.248
260511_103930.wav,3,noise,14,3.054,4.232,+1.179
260511_103930.wav,3,noise,15,3.054,2.663,-0.390
260511_103930.wav,3,noise,16,3.054,2.140,-0.914
260511_103930.wav,3,noise,17,3.054,3.304,+0.250
260511_103930.wav,3,noise,18,3.054,2.713,-0.341
260511_103930.wav,3,noise,19,3.054,3.139,+0.086
260511_103930.wav,3,noise,20,3.054,2.658,-0.396
260511_103930.wav,4,signal,1,3.576,2.807,-0.769
260511_103930.wav,4,signal,2,2.807,2.126,-0.681
260511_103930.wav,4,signal,3,2.126,3.072,+0.946
260511_103930.wav,4,signal,4,3.072,2.977,-0.095
260511_103930.wav,4,signal,5,2.977,2.487,-0.490
260511_103930.wav,4,signal,6,2.487,3.042,+0.555
260511_103930.wav,4,signal,7,3.042,2.284,-0.758
260511_103930.wav,4,signal,8,2.284,2.993,+0.709
260511_103930.wav,4,noise,1,3.576,3.016,-0.561
260511_103930.wav,4,noise,2,3.576,3.303,-0.273
260511_103930.wav,4,noise,3,3.576,4.019,+0.442
260511_103930.wav,4,noise,4,3.576,3.073,-0.504
260511_103930.wav,4,noise,5,3.576,1.813,-1.763
260511_103930.wav,4,noise,6,3.576,2.908,-0.668
260511_103930.wav,4,noise,7,3.576,2.776,-0.800
260511_103930.wav,4,noise,8,3.576,3.012,-0.564
260511_103930.wav,4,noise,9,3.576,2.323,-1.253
260511_103930.wav,4,noise,10,3.576,4.136,+0.560
260511_103930.wav,4,noise,11,3.576,2.108,-1.468
260511_103930.wav,4,noise,12,3.576,2.943,-0.634
260511_103930.wav,4,noise,13,3.576,3.552,-0.025
260511_103930.wav,4,noise,14,3.576,2.612,-0.964
260511_103930.wav,4,noise,15,3.576,3.013,-0.563
260511_103930.wav,4,noise,16,3.576,2.750,-0.826
260511_103930.wav,4,noise,17,3.576,2.721,-0.855
260511_103930.wav,4,noise,18,3.576,2.948,-0.629
260511_103930.wav,4,noise,19,3.576,2.077,-1.500
260511_103930.wav,4,noise,20,3.576,2.569,-1.008
260511_103930.wav,5,signal,1,4.276,3.759,-0.518
260511_103930.wav,5,signal,2,3.759,2.807,-0.952
260511_103930.wav,5,signal,3,2.807,3.296,+0.489
260511_103930.wav,5,signal,4,3.296,3.142,-0.153
260511_103930.wav,5,signal,5,3.142,3.056,-0.087
260511_103930.wav,5,noise,1,4.276,2.761,-1.515
260511_103930.wav,5,noise,2,4.276,2.692,-1.585
260511_103930.wav,5,noise,3,4.276,3.122,-1.155
