wav,wsjtx_msgs,burst_idx,t_start_s,t_end_s,n_frames,valid_fraction,afc_applied,base_f0_hz,base_peak_mag,base_fwhm_hz,base_peak_to_noise,afc_peak_mag,gain_db
260511_031845.wav,,0,13.450,13.590,1,0.000,0,+87.36,111,10.00,1.65,111,+0.00
260511_091230.wav,N1KWF K0TPP R+09,0,7.620,8.240,8,1.000,1,+104.12,1908,4.00,8.23,1944,+0.16
260511_092430.wav,N2QFN K0TPP R+12,0,13.380,13.470,1,0.000,0,+212.01,150,10.00,1.38,150,+0.00
260511_093000.wav,CQ KD9VV EN71|KA1EME K0TPP 73,0,12.310,12.420,1,0.000,0,+35.64,166,13.00,1.30,166,+0.00
260511_093130.wav,CQ KD9VV EN71,0,4.260,4.390,1,0.000,0,+236.49,157,7.00,1.16,157,+0.00
260511_093130.wav,CQ KD9VV EN71,1,4.510,4.720,2,1.000,1,+99.47,349,7.00,2.07,350,+0.01
260511_093130.wav,CQ KD9VV EN71,2,4.730,4.850,1,0.000,0,+241.79,164,15.00,1.52,164,+0.00
260511_102530.wav,CQ N8XY EN90,0,8.070,8.280,2,1.000,1,+106.84,544,7.00,2.12,513,-0.52
260511_103100.wav,N8XY N4JP FM14,0,10.450,10.520,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_103145.wav,CQ K2GV FN30,0,8.540,8.680,1,0.000,0,+95.67,175,9.00,1.43,175,+0.00
260511_103400.wav,N8XY N4JP FM14,0,13.080,13.190,1,0.000,0,+124.37,155,9.00,1.43,155,+0.00
260511_103400.wav,N8XY N4JP FM14,1,13.230,13.290,0,0.000,0,+nan,0,nan,nan,0,+nan
260511_103600.wav,KB8OTK N4JP FM14,0,5.320,5.510,2,1.000,1,+125.09,464,8.00,2.04,507,+0.76
260511_103730.wav,KB8OTK N4JP FM14,0,1.890,2.050,2,1.000,1,+122.56,419,7.00,2.02,419,+0.01
260511_103830.wav,KB8OTK N4JP FM14,0,5.230,5.330,1,0.000,0,+137.76,201,14.00,1.52,201,+0.00
