wav,wsjtx_msgs,t_start_s,t_end_s,dur_ms,n_frames,n_syncs,ish_best,f0_hz,peak_mag,fwhm_hz,peak_to_noise
260511_031845.wav,,13.450,13.522,72.0,1,2,725,+87.36,111,10.00,1.65
260511_091230.wav,N1KWF K0TPP R+09,7.620,8.196,576.0,8,2,813,+104.12,1908,4.00,8.23
260511_092430.wav,N2QFN K0TPP R+12,13.380,13.452,72.0,1,2,671,+212.01,150,10.00,1.38
260511_093000.wav,CQ KD9VV EN71|KA1EME K0TPP 73,12.310,12.382,72.0,1,2,316,+35.64,166,13.00,1.30
260511_093130.wav,CQ KD9VV EN71,4.260,4.332,72.0,1,2,275,+236.49,157,7.00,1.16
260511_093130.wav,CQ KD9VV EN71,4.510,4.654,144.0,2,2,213,+99.47,349,7.00,2.07
260511_093130.wav,CQ KD9VV EN71,4.730,4.802,72.0,1,2,141,+241.79,164,15.00,1.52
260511_102530.wav,CQ N8XY EN90,8.070,8.214,144.0,2,2,346,+106.84,544,7.00,2.12
260511_103145.wav,CQ K2GV FN30,8.540,8.612,72.0,1,2,746,+95.67,175,9.00,1.43
260511_103400.wav,N8XY N4JP FM14,13.080,13.152,72.0,1,2,773,+124.37,155,9.00,1.43
260511_103600.wav,KB8OTK N4JP FM14,5.320,5.464,144.0,2,2,430,+125.09,464,8.00,2.04
260511_103730.wav,KB8OTK N4JP FM14,1.890,2.034,144.0,2,2,51,+122.56,419,7.00,2.02
260511_103830.wav,KB8OTK N4JP FM14,5.230,5.302,72.0,1,2,201,+137.76,201,14.00,1.52
260511_103900.wav,WA2FZW W9VHF EN71,5.610,5.754,144.0,2,2,398,+108.81,457,6.00,1.94
260511_103900.wav,WA2FZW W9VHF EN71,13.930,14.002,72.0,1,2,145,+128.84,143,9.00,1.45
260511_103930.wav,KB8OTK N4JP FM14,2.390,2.462,72.0,1,2,233,+143.45,133,14.00,1.56
260511_103930.wav,KB8OTK N4JP FM14,4.800,4.872,72.0,1,2,204,+105.77,119,14.00,1.51
260511_103930.wav,KB8OTK N4JP FM14,5.340,5.628,288.0,4,2,132,+129.01,505,4.00,5.06
260511_103930.wav,KB8OTK N4JP FM14,11.820,13.476,1656.0,23,2,97,+116.92,4068,2.00,26.13
260511_103930.wav,KB8OTK N4JP FM14,14.430,14.862,432.0,6,2,42,+130.67,1249,4.00,8.53
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,9.460,9.748,288.0,4,2,356,+104.06,1032,6.00,3.71
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,14.650,14.722,72.0,1,2,733,+105.90,149,16.00,1.67
260511_104130.wav,KB8OTK N4JP FM14,5.880,5.952,72.0,1,2,318,+67.02,155,13.00,1.40
260511_104130.wav,KB8OTK N4JP FM14,6.120,6.192,72.0,1,2,30,+86.66,186,15.00,1.50
260511_104130.wav,KB8OTK N4JP FM14,6.330,6.402,72.0,1,2,841,+105.36,198,15.00,1.64
260511_104130.wav,KB8OTK N4JP FM14,6.570,6.858,288.0,4,2,678,+137.05,651,4.00,3.78
260511_104130.wav,KB8OTK N4JP FM14,7.370,7.442,72.0,1,2,582,+139.20,155,13.00,1.38
260511_104130.wav,KB8OTK N4JP FM14,7.610,7.682,72.0,1,2,294,+122.84,146,12.00,1.34
260511_104130.wav,KB8OTK N4JP FM14,7.830,7.902,72.0,1,2,246,+121.63,156,13.00,1.39
260511_104230.wav,KB8OTK N4JP FM14,11.330,11.402,72.0,1,2,171,+102.43,279,15.00,1.58
260511_104300.wav,KB8OTK N4JP FM14|N2QFN K0TPP RR73,7.060,7.996,936.0,13,2,530,+120.91,2759,2.00,13.76
260511_104300.wav,KB8OTK N4JP FM14|N2QFN K0TPP RR73,8.610,8.754,144.0,2,2,257,+65.38,211,6.00,1.51
260511_104300.wav,KB8OTK N4JP FM14|N2QFN K0TPP RR73,8.910,9.126,216.0,3,2,802,+108.37,416,6.00,2.33
260511_104330.wav,KB8OTK N4JP FM14,13.170,13.242,72.0,1,2,790,+126.56,193,15.00,1.55
260511_104430.wav,KB8OTK N4JP FM14,9.290,9.434,144.0,2,2,472,+136.29,319,7.00,1.82
260511_104500.wav,KA1EME W9VHF 73,14.460,14.532,72.0,1,2,307,+103.67,131,11.00,1.18
260511_105345.wav,CQ WA2FZW FN20,5.070,5.142,72.0,1,2,33,+222.26,161,13.00,1.37
