wav,wsjtx_msgs,burst_idx,t_start_s,t_end_s,n_frames,n_windows,burst_avg_f0_hz,drift_hz_per_s,resid_hz,label
260511_031845.wav,,0,13.450,13.590,1,0,+87.36,,,INSUFFICIENT
260511_091230.wav,N1KWF K0TPP R+09,0,7.620,8.240,8,16,+104.12,-3.76,14.70,FLUTTERY
260511_092430.wav,N2QFN K0TPP R+12,0,13.380,13.470,1,0,+212.01,,,INSUFFICIENT
260511_093000.wav,CQ KD9VV EN71|KA1EME K0TPP 73,0,12.310,12.420,1,0,+35.64,,,INSUFFICIENT
260511_093130.wav,CQ KD9VV EN71,0,4.260,4.390,1,0,+236.49,,,INSUFFICIENT
260511_093130.wav,CQ KD9VV EN71,1,4.510,4.720,2,4,+99.47,-5.10,0.14,LINEAR_DRIFT
260511_093130.wav,CQ KD9VV EN71,2,4.730,4.850,1,0,+241.79,,,INSUFFICIENT
260511_102530.wav,CQ N8XY EN90,0,8.070,8.280,2,4,+106.84,-617.96,19.52,FLUTTERY
260511_103100.wav,N8XY N4JP FM14,0,10.450,10.520,0,0,+nan,,,INSUFFICIENT
260511_103145.wav,CQ K2GV FN30,0,8.540,8.680,1,0,+95.67,,,INSUFFICIENT
260511_103400.wav,N8XY N4JP FM14,0,13.080,13.190,1,0,+124.37,,,INSUFFICIENT
260511_103400.wav,N8XY N4JP FM14,1,13.230,13.290,0,0,+nan,,,INSUFFICIENT
260511_103600.wav,KB8OTK N4JP FM14,0,5.320,5.510,2,4,+125.09,-1070.24,51.20,FLUTTERY
260511_103730.wav,KB8OTK N4JP FM14,0,1.890,2.050,2,3,+122.56,+1793.76,29.39,FLUTTERY
260511_103830.wav,KB8OTK N4JP FM14,0,5.230,5.330,1,0,+137.76,,,INSUFFICIENT
260511_103900.wav,WA2FZW W9VHF EN71,0,5.610,5.800,2,4,+108.81,-43.73,0.53,LINEAR_DRIFT
260511_103900.wav,WA2FZW W9VHF EN71,1,13.930,14.020,1,0,+128.84,,,INSUFFICIENT
260511_103930.wav,KB8OTK N4JP FM14,0,2.390,2.480,1,0,+143.45,,,INSUFFICIENT
260511_103930.wav,KB8OTK N4JP FM14,1,2.600,2.670,0,0,+nan,,,INSUFFICIENT
260511_103930.wav,KB8OTK N4JP FM14,2,4.800,4.940,1,0,+105.77,,,INSUFFICIENT
260511_103930.wav,KB8OTK N4JP FM14,3,5.340,5.660,4,7,+129.01,-27.86,11.80,FLUTTERY
260511_103930.wav,KB8OTK N4JP FM14,4,11.820,13.540,23,46,+116.92,+3.17,12.70,FLUTTERY
260511_103930.wav,KB8OTK N4JP FM14,5,14.430,14.930,6,12,+130.67,-5.18,11.37,FLUTTERY
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,0,9.460,9.780,4,7,+104.06,+80.17,6.11,FLUTTERY
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,1,14.650,14.750,1,0,+105.90,,,INSUFFICIENT
260511_104130.wav,KB8OTK N4JP FM14,0,1.420,1.480,0,0,+nan,,,INSUFFICIENT
260511_104130.wav,KB8OTK N4JP FM14,1,5.880,5.980,1,0,+67.02,,,INSUFFICIENT
260511_104130.wav,KB8OTK N4JP FM14,2,6.120,6.250,1,0,+86.66,,,INSUFFICIENT
260511_104130.wav,KB8OTK N4JP FM14,3,6.330,6.470,1,0,+105.36,,,INSUFFICIENT
260511_104130.wav,KB8OTK N4JP FM14,4,6.570,6.860,4,7,+137.05,-218.01,31.87,FLUTTERY
260511_104130.wav,KB8OTK N4JP FM14,5,7.370,7.510,1,0,+139.20,,,INSUFFICIENT
260511_104130.wav,KB8OTK N4JP FM14,6,7.610,7.750,1,0,+122.84,,,INSUFFICIENT
260511_104130.wav,KB8OTK N4JP FM14,7,7.830,7.960,1,0,+121.63,,,INSUFFICIENT
260511_104130.wav,KB8OTK N4JP FM14,8,9.860,9.930,0,0,+nan,,,INSUFFICIENT
260511_104230.wav,KB8OTK N4JP FM14,0,11.330,11.410,1,0,+102.43,,,INSUFFICIENT
260511_104245.wav,CQ WA2FZW FN20,0,4.990,5.060,0,0,+nan,,,INSUFFICIENT
260511_104300.wav,KB8OTK N4JP FM14|N2QFN K0TPP RR73,0,7.060,8.030,13,25,+120.91,-3.09,20.07,FLUTTERY
260511_104300.wav,KB8OTK N4JP FM14|N2QFN K0TPP RR73,1,8.610,8.770,2,3,+65.38,+2026.87,33.99,FLUTTERY
260511_104300.wav,KB8OTK N4JP FM14|N2QFN K0TPP RR73,2,8.910,9.180,3,6,+108.37,-1187.31,72.35,FLUTTERY
260511_104330.wav,KB8OTK N4JP FM14,0,13.170,13.290,1,0,+126.56,,,INSUFFICIENT
260511_104430.wav,KB8OTK N4JP FM14,0,9.290,9.440,2,3,+136.29,+42.18,0.74,LINEAR_DRIFT
260511_104430.wav,KB8OTK N4JP FM14,1,9.450,9.510,0,0,+nan,,,INSUFFICIENT
260511_104500.wav,KA1EME W9VHF 73,0,14.460,14.540,1,0,+103.67,,,INSUFFICIENT
