wav,wsjtx_msgs,burst_idx,win_idx,t_center_s,f0_hz,fwhm_hz,peak_to_noise
260511_091230.wav,N1KWF K0TPP R+09,0,0,7.6560,+127.04,10.00,1.58
260511_091230.wav,N1KWF K0TPP R+09,0,1,7.6920,+105.16,14.00,1.50
260511_091230.wav,N1KWF K0TPP R+09,0,2,7.7280,+104.13,9.00,1.35
260511_091230.wav,N1KWF K0TPP R+09,0,3,7.7640,+49.54,13.00,1.34
260511_091230.wav,N1KWF K0TPP R+09,0,4,7.8000,+102.87,10.00,1.59
260511_091230.wav,N1KWF K0TPP R+09,0,5,7.8360,+102.94,14.00,1.53
260511_091230.wav,N1KWF K0TPP R+09,0,6,7.8720,+103.76,10.00,1.54
260511_091230.wav,N1KWF K0TPP R+09,0,7,7.9080,+104.89,16.00,1.61
260511_091230.wav,N1KWF K0TPP R+09,0,8,7.9440,+104.44,15.00,1.57
260511_091230.wav,N1KWF K0TPP R+09,0,9,7.9800,+104.41,15.00,1.62
260511_091230.wav,N1KWF K0TPP R+09,0,10,8.0160,+104.14,10.00,1.55
260511_091230.wav,N1KWF K0TPP R+09,0,11,8.0520,+104.49,13.00,1.48
260511_091230.wav,N1KWF K0TPP R+09,0,12,8.0880,+103.35,9.00,1.45
260511_091230.wav,N1KWF K0TPP R+09,0,13,8.1240,+105.27,14.00,1.48
260511_091230.wav,N1KWF K0TPP R+09,0,14,8.1600,+84.67,14.00,1.24
260511_091230.wav,N1KWF K0TPP R+09,0,15,8.1960,+106.90,12.00,1.39
260511_093130.wav,CQ KD9VV EN71,1,0,4.5460,+100.08,10.00,1.54
260511_093130.wav,CQ KD9VV EN71,1,1,4.5820,+100.02,14.00,1.44
260511_093130.wav,CQ KD9VV EN71,1,2,4.6180,+100.02,15.00,1.51
260511_093130.wav,CQ KD9VV EN71,1,3,4.6540,+99.47,14.00,1.58
260511_102530.wav,CQ N8XY EN90,0,0,8.1060,+107.64,9.00,1.47
260511_102530.wav,CQ N8XY EN90,0,1,8.1420,+106.74,10.00,1.49
260511_102530.wav,CQ N8XY EN90,0,2,8.1780,+106.32,14.00,1.53
260511_102530.wav,CQ N8XY EN90,0,3,8.2140,+34.67,15.00,1.57
260511_103600.wav,KB8OTK N4JP FM14,0,0,5.3560,+106.84,17.00,1.59
260511_103600.wav,KB8OTK N4JP FM14,0,1,5.3920,+107.17,16.00,1.62
260511_103600.wav,KB8OTK N4JP FM14,0,2,5.4280,+142.39,19.00,1.33
260511_103600.wav,KB8OTK N4JP FM14,0,3,5.4640,-38.78,12.00,1.32
260511_103730.wav,KB8OTK N4JP FM14,0,0,1.9260,+123.73,15.00,1.55
260511_103730.wav,KB8OTK N4JP FM14,0,1,1.9620,+250.00,6.00,1.29
260511_103730.wav,KB8OTK N4JP FM14,0,2,1.9980,+249.22,5.00,1.29
260511_103900.wav,WA2FZW W9VHF EN71,0,0,5.6460,+110.06,12.00,1.38
260511_103900.wav,WA2FZW W9VHF EN71,0,1,5.6820,+108.05,14.00,1.40
260511_103900.wav,WA2FZW W9VHF EN71,0,2,5.7180,+107.79,13.00,1.42
260511_103900.wav,WA2FZW W9VHF EN71,0,3,5.7540,+104.93,10.00,1.51
260511_103930.wav,KB8OTK N4JP FM14,3,0,5.3760,+146.06,14.00,1.48
260511_103930.wav,KB8OTK N4JP FM14,3,1,5.4120,+114.12,14.00,1.53
260511_103930.wav,KB8OTK N4JP FM14,3,2,5.4480,+114.12,14.00,1.53
260511_103930.wav,KB8OTK N4JP FM14,3,3,5.4840,+110.88,15.00,1.51
260511_103930.wav,KB8OTK N4JP FM14,3,4,5.5200,+110.88,15.00,1.51
260511_103930.wav,KB8OTK N4JP FM14,3,5,5.5560,+127.84,15.00,1.55
260511_103930.wav,KB8OTK N4JP FM14,3,6,5.5920,+127.84,14.00,1.53
260511_103930.wav,KB8OTK N4JP FM14,4,0,11.8560,+130.16,10.00,1.47
260511_103930.wav,KB8OTK N4JP FM14,4,1,11.8920,+130.33,23.00,1.53
260511_103930.wav,KB8OTK N4JP FM14,4,2,11.9280,+130.33,15.00,1.48
260511_103930.wav,KB8OTK N4JP FM14,4,3,11.9640,+106.97,16.00,1.59
260511_103930.wav,KB8OTK N4JP FM14,4,4,12.0000,+94.31,15.00,1.56
260511_103930.wav,KB8OTK N4JP FM14,4,5,12.0360,+130.66,15.00,1.54
260511_103930.wav,KB8OTK N4JP FM14,4,6,12.0720,+130.66,15.00,1.54
260511_103930.wav,KB8OTK N4JP FM14,4,7,12.1080,+96.97,14.00,1.55
260511_103930.wav,KB8OTK N4JP FM14,4,8,12.1440,+94.97,14.00,1.46
260511_103930.wav,KB8OTK N4JP FM14,4,9,12.1800,+112.17,17.00,1.57
260511_103930.wav,KB8OTK N4JP FM14,4,10,12.2160,+130.43,14.00,1.46
260511_103930.wav,KB8OTK N4JP FM14,4,11,12.2520,+119.56,22.00,1.53
260511_103930.wav,KB8OTK N4JP FM14,4,12,12.2880,+130.27,14.00,1.50
260511_103930.wav,KB8OTK N4JP FM14,4,13,12.3240,+129.58,23.00,1.62
260511_103930.wav,KB8OTK N4JP FM14,4,14,12.3600,+129.58,15.00,1.61
260511_103930.wav,KB8OTK N4JP FM14,4,15,12.3960,+129.82,14.00,1.53
260511_103930.wav,KB8OTK N4JP FM14,4,16,12.4320,+129.82,14.00,1.51
260511_103930.wav,KB8OTK N4JP FM14,4,17,12.4680,+164.97,14.00,1.56
260511_103930.wav,KB8OTK N4JP FM14,4,18,12.5040,+131.14,14.00,1.54
260511_103930.wav,KB8OTK N4JP FM14,4,19,12.5400,+130.24,32.00,1.64
260511_103930.wav,KB8OTK N4JP FM14,4,20,12.5760,+130.24,15.00,1.61
260511_103930.wav,KB8OTK N4JP FM14,4,21,12.6120,+130.80,10.00,1.64
260511_103930.wav,KB8OTK N4JP FM14,4,22,12.6480,+130.60,15.00,1.57
260511_103930.wav,KB8OTK N4JP FM14,4,23,12.6840,+131.34,10.00,1.61
260511_103930.wav,KB8OTK N4JP FM14,4,24,12.7200,+113.81,14.00,1.50
260511_103930.wav,KB8OTK N4JP FM14,4,25,12.7560,+119.77,33.00,1.65
260511_103930.wav,KB8OTK N4JP FM14,4,26,12.7920,+130.88,15.00,1.60
260511_103930.wav,KB8OTK N4JP FM14,4,27,12.8280,+130.66,23.00,1.66
260511_103930.wav,KB8OTK N4JP FM14,4,28,12.8640,+130.66,15.00,1.61
260511_103930.wav,KB8OTK N4JP FM14,4,29,12.9000,+119.82,33.00,1.63
260511_103930.wav,KB8OTK N4JP FM14,4,30,12.9360,+147.56,15.00,1.52
260511_103930.wav,KB8OTK N4JP FM14,4,31,12.9720,+130.78,23.00,1.58
260511_103930.wav,KB8OTK N4JP FM14,4,32,13.0080,+113.36,15.00,1.53
260511_103930.wav,KB8OTK N4JP FM14,4,33,13.0440,+131.35,23.00,1.61
260511_103930.wav,KB8OTK N4JP FM14,4,34,13.0800,+131.35,15.00,1.55
260511_103930.wav,KB8OTK N4JP FM14,4,35,13.1160,+130.61,11.00,1.66
260511_103930.wav,KB8OTK N4JP FM14,4,36,13.1520,+112.85,15.00,1.55
260511_103930.wav,KB8OTK N4JP FM14,4,37,13.1880,+119.42,10.00,1.62
260511_103930.wav,KB8OTK N4JP FM14,4,38,13.2240,+112.27,15.00,1.53
260511_103930.wav,KB8OTK N4JP FM14,4,39,13.2600,+129.34,22.00,1.51
260511_103930.wav,KB8OTK N4JP FM14,4,40,13.2960,+113.05,14.00,1.50
260511_103930.wav,KB8OTK N4JP FM14,4,41,13.3320,+131.06,10.00,1.56
260511_103930.wav,KB8OTK N4JP FM14,4,42,13.3680,+147.57,15.00,1.55
260511_103930.wav,KB8OTK N4JP FM14,4,43,13.4040,+114.44,15.00,1.54
260511_103930.wav,KB8OTK N4JP FM14,4,44,13.4400,+113.88,14.00,1.53
260511_103930.wav,KB8OTK N4JP FM14,4,45,13.4760,+130.14,23.00,1.61
260511_103930.wav,KB8OTK N4JP FM14,5,0,14.4660,+130.13,15.00,1.56
260511_103930.wav,KB8OTK N4JP FM14,5,1,14.5020,+130.97,14.00,1.51
260511_103930.wav,KB8OTK N4JP FM14,5,2,14.5380,+130.97,14.00,1.51
260511_103930.wav,KB8OTK N4JP FM14,5,3,14.5740,+130.11,15.00,1.55
260511_103930.wav,KB8OTK N4JP FM14,5,4,14.6100,+130.11,14.00,1.53
260511_103930.wav,KB8OTK N4JP FM14,5,5,14.6460,+131.17,14.00,1.52
260511_103930.wav,KB8OTK N4JP FM14,5,6,14.6820,+131.17,14.00,1.52
260511_103930.wav,KB8OTK N4JP FM14,5,7,14.7180,+147.69,14.00,1.52
260511_103930.wav,KB8OTK N4JP FM14,5,8,14.7540,+147.69,14.00,1.52
260511_103930.wav,KB8OTK N4JP FM14,5,9,14.7900,+112.85,15.00,1.55
260511_103930.wav,KB8OTK N4JP FM14,5,10,14.8260,+147.55,14.00,1.56
260511_103930.wav,KB8OTK N4JP FM14,5,11,14.8620,+111.40,15.00,1.61
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,0,0,9.4960,+102.05,16.00,1.61
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,0,1,9.5320,+102.05,14.00,1.42
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,0,2,9.5680,+103.83,23.00,1.45
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,0,3,9.6040,+103.86,15.00,1.63
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,0,4,9.6400,+104.30,9.00,1.54
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,0,5,9.6760,+104.89,14.00,1.49
260511_104030.wav,N2QFN K0TPP +06|KB8OTK N4JP FM14,0,6,9.7120,+128.00,8.00,1.40
260511_104130.wav,KB8OTK N4JP FM14,4,0,6.6060,+123.68,15.00,1.56
260511_104130.wav,KB8OTK N4JP FM14,4,1,6.6420,+123.68,15.00,1.56
260511_104130.wav,KB8OTK N4JP FM14,4,2,6.6780,+178.98,13.00,1.54
260511_104130.wav,KB8OTK N4JP FM14,4,3,6.7140,+178.98,13.00,1.54
260511_104130.wav,KB8OTK N4JP FM14,4,4,6.7500,+122.21,14.00,1.46
260511_104130.wav,KB8OTK N4JP FM14,4,5,6.7860,+122.21,14.00,1.48
260511_104130.wav,KB8OTK N4JP FM14,4,6,6.8220,+67.23,14.00,1.44
260511_104300.wav,KB8OTK N4JP FM14|N2QFN K0TPP RR73,0,0,7.0960,+138.28,16.00,1.48
