wav,t_start_s,t_end_s,dur_ms,peak_db,f_mean_hz_minus_1500,f_std_hz,f_range_hz,af_corr
260511_031845.wav,13.450,13.590,140.0,4.79,-46.43,47.150,115.11,-0.209
260511_091230.wav,7.620,8.240,620.0,14.81,+104.11,1.181,4.87,-0.421
260511_092430.wav,13.380,13.470,90.0,7.14,-8.45,20.327,47.29,-0.263
260511_093000.wav,12.310,12.420,110.0,7.57,+77.54,41.515,91.87,-0.050
260511_093130.wav,4.260,4.390,130.0,7.89,+76.57,35.268,79.94,+0.700
260511_093130.wav,4.510,4.720,210.0,7.63,+99.83,0.674,2.34,+0.391
260511_093130.wav,4.730,4.850,120.0,6.62,+82.24,39.866,108.33,+0.041
260511_102530.wav,8.070,8.280,210.0,12.11,+87.46,41.167,118.47,+0.648
260511_103100.wav,10.450,10.520,70.0,6.26,+12.83,22.178,51.75,-0.235
260511_103145.wav,8.540,8.680,140.0,6.98,+63.57,44.027,94.45,-0.338
260511_103400.wav,13.080,13.190,110.0,7.79,+91.48,41.105,91.82,-0.327
260511_103400.wav,13.230,13.290,60.0,5.61,+120.70,0.970,2.72,-0.730
260511_103600.wav,5.320,5.510,190.0,11.20,+120.67,20.419,94.35,+0.346
260511_103730.wav,1.890,2.050,160.0,9.69,+119.98,12.490,52.49,+0.282
260511_103830.wav,5.230,5.330,100.0,8.51,+107.40,26.700,69.90,+0.523
260511_103900.wav,5.610,5.800,190.0,10.91,+104.48,17.297,82.66,+0.316
260511_103900.wav,13.930,14.020,90.0,5.93,+88.21,33.449,82.01,-0.614
260511_103930.wav,2.390,2.480,90.0,5.73,+127.92,0.710,2.23,+0.367
260511_103930.wav,2.600,2.670,70.0,5.86,+127.72,0.478,1.49,+0.577
260511_103930.wav,4.800,4.940,140.0,5.20,+129.35,0.722,2.58,+0.070
260511_103930.wav,5.340,5.660,320.0,6.27,+121.84,27.280,114.99,-0.128
260511_103930.wav,11.820,13.540,1720.0,12.10,+130.27,8.477,112.61,+0.181
260511_103930.wav,14.430,14.930,500.0,11.76,+130.91,0.653,2.53,+0.132
260511_104030.wav,9.460,9.780,320.0,14.78,+90.59,36.361,120.87,+0.303
260511_104030.wav,14.650,14.750,100.0,7.42,+124.13,1.057,3.50,+0.031
260511_104130.wav,1.420,1.480,60.0,5.73,+83.39,51.376,109.45,+0.582
260511_104130.wav,5.880,5.980,100.0,6.37,+120.66,1.417,4.29,+0.204
260511_104130.wav,6.120,6.250,130.0,7.26,+100.85,48.727,136.59,+0.517
260511_104130.wav,6.330,6.470,140.0,7.38,+97.60,46.504,115.76,+0.040
260511_104130.wav,6.570,6.860,290.0,9.39,+110.51,32.547,115.82,+0.063
260511_104130.wav,7.370,7.510,140.0,7.13,+98.50,46.117,114.04,-0.070
260511_104130.wav,7.610,7.750,140.0,6.53,+98.97,46.773,117.23,-0.312
260511_104130.wav,7.830,7.960,130.0,6.69,+101.39,41.281,112.89,-0.162
260511_104130.wav,9.860,9.930,70.0,6.57,+92.48,46.491,103.45,+0.147
260511_104230.wav,11.330,11.410,80.0,11.27,+120.47,2.071,6.93,-0.401
260511_104245.wav,4.990,5.060,70.0,8.30,+50.13,53.833,119.09,+0.674
260511_104300.wav,7.060,8.030,970.0,12.83,+107.31,32.824,118.31,+0.490
260511_104300.wav,8.610,8.770,160.0,6.82,+48.13,46.887,138.19,-0.341
260511_104300.wav,8.910,9.180,270.0,12.08,+95.11,33.294,115.28,+0.155
260511_104330.wav,13.170,13.290,120.0,8.75,+86.66,55.831,133.87,+0.498
260511_104430.wav,9.290,9.440,150.0,9.31,+109.49,32.727,114.03,+0.349
260511_104430.wav,9.450,9.510,60.0,6.01,+101.50,47.704,129.50,-0.708
260511_104500.wav,14.460,14.540,80.0,6.46,+105.11,1.272,3.28,-0.060
260511_105345.wav,5.070,5.150,80.0,7.63,+17.37,24.445,79.40,-0.580
260511_105445.wav,9.300,9.370,70.0,8.48,+116.63,1.331,3.29,-0.731
260511_105800.wav,3.030,3.160,130.0,8.05,+64.25,56.422,141.19,-0.178
260511_105800.wav,3.170,3.510,340.0,8.85,+76.67,52.737,133.47,+0.010
260511_110130.wav,0.300,0.390,90.0,8.76,-11.13,12.507,29.19,-0.135
260511_110145.wav,1.190,1.280,90.0,6.02,+33.09,49.250,119.95,-0.356
260511_110145.wav,4.820,4.990,170.0,7.07,+51.73,50.487,129.14,+0.071
260511_110215.wav,6.950,7.010,60.0,6.29,-25.98,31.884,84.36,-0.463
260511_110415.wav,0.960,1.090,130.0,6.30,+57.15,44.401,125.50,-0.058
260511_110415.wav,1.270,1.460,190.0,7.14,+85.00,34.850,112.09,-0.197
260511_110415.wav,1.570,1.720,150.0,7.78,+102.63,1.659,5.80,-0.173
260511_111030.wav,11.740,11.910,170.0,10.89,+99.30,53.098,134.80,+0.451
260511_111230.wav,11.340,11.460,120.0,12.57,+125.85,21.302,85.78,+0.296
260511_111330.wav,4.120,4.210,90.0,7.74,+100.13,32.638,77.90,+0.381
260511_111400.wav,1.010,1.140,130.0,6.30,+57.55,48.170,137.36,-0.234
260511_111430.wav,11.120,11.190,70.0,5.96,+107.75,21.438,62.67,+0.635
