ch_signed,decoded,error,no_decode,total
-23,0,0,54,54
-22,0,0,48,48
-21,1,0,24798,24799
-20,0,0,16948,16948
-19,1,0,16312,16313
-18,0,0,13301,13301
-17,0,0,12955,12955
-16,1,0,14675,14676
-15,0,0,14727,14727
-14,0,0,15280,15280
-13,0,0,17287,17287
-12,26,0,16030,16056
-11,0,0,16153,16153
-10,0,0,16310,16310
-9,0,0,16165,16165
-8,1,0,16911,16912
-7,0,0,15605,15605
-6,0,1,15686,15687
-5,1,0,14796,14797
-4,0,0,14631,14631
-3,0,0,15847,15847
-2,3,0,19685,19688
-1,0,2,31688,31690
0,2139,0,28240,30379
1,0,0,23946,23946
2,14,0,19209,19223
3,0,0,15786,15786
4,4,0,15243,15247
5,4,0,15472,15476
6,0,1,16371,16372
7,0,0,16570,16570
8,0,0,14855,14855
9,0,1,12797,12798
10,0,0,14538,14538
11,0,0,14403,14403
12,6,0,13158,13164
13,0,0,13478,13478
14,0,0,15689,15689
15,1,1,16926,16928
16,1,1,17209,17211
17,2,0,18533,18535
18,0,0,28899,28899
19,0,2,5174,5176
20,0,0,197,197
21,0,0,108,108
22,0,0,57,57
23,0,0,115,115
24,0,0,44,44
