depth,snr_db,trial,truth_msg,decoded_msg,correct
1,-10,0,CQ K1JT FN20,,0
2,-10,0,CQ K1JT FN20,,0
1,-10,1,CQ K1JT FN20,,0
2,-10,1,CQ K1JT FN20,,0
1,-10,2,CQ K1JT FN20,,0
2,-10,2,CQ K1JT FN20,,0
1,-10,3,CQ K1JT FN20,,0
2,-10,3,CQ K1JT FN20,,0
1,-10,4,CQ K1JT FN20,,0
2,-10,4,CQ K1JT FN20,,0
1,-10,5,CQ K1JT FN20,,0
2,-10,5,CQ K1JT FN20,,0
1,-10,6,CQ K1JT FN20,,0
2,-10,6,CQ K1JT FN20,,0
1,-10,7,CQ K1JT FN20,,0
2,-10,7,CQ K1JT FN20,,0
1,-10,8,CQ K1JT FN20,,0
2,-10,8,CQ K1JT FN20,,0
1,-10,9,CQ K1JT FN20,,0
2,-10,9,CQ K1JT FN20,,0
1,-10,10,CQ K1JT FN20,,0
2,-10,10,CQ K1JT FN20,,0
1,-10,11,CQ K1JT FN20,,0
2,-10,11,CQ K1JT FN20,,0
1,-10,12,CQ K1JT FN20,,0
2,-10,12,CQ K1JT FN20,,0
1,-10,13,CQ K1JT FN20,,0
2,-10,13,CQ K1JT FN20,,0
1,-10,14,CQ K1JT FN20,,0
2,-10,14,CQ K1JT FN20,,0
1,-10,15,CQ K1JT FN20,,0
2,-10,15,CQ K1JT FN20,,0
1,-10,16,CQ K1JT FN20,,0
2,-10,16,CQ K1JT FN20,,0
1,-10,17,CQ K1JT FN20,,0
2,-10,17,CQ K1JT FN20,,0
1,-10,18,CQ K1JT FN20,,0
2,-10,18,CQ K1JT FN20,,0
1,-10,19,CQ K1JT FN20,,0
2,-10,19,CQ K1JT FN20,,0
1,-10,20,CQ K1JT FN20,,0
2,-10,20,CQ K1JT FN20,,0
1,-10,21,CQ K1JT FN20,,0
2,-10,21,CQ K1JT FN20,,0
1,-10,22,CQ K1JT FN20,,0
2,-10,22,CQ K1JT FN20,,0
1,-10,23,CQ K1JT FN20,,0
2,-10,23,CQ K1JT FN20,,0
1,-10,24,CQ K1JT FN20,,0
2,-10,24,CQ K1JT FN20,,0
1,-10,25,CQ K1JT FN20,,0
2,-10,25,CQ K1JT FN20,,0
1,-10,26,CQ K1JT FN20,,0
2,-10,26,CQ K1JT FN20,,0
1,-10,27,CQ K1JT FN20,,0
2,-10,27,CQ K1JT FN20,,0
1,-10,28,CQ K1JT FN20,,0
2,-10,28,CQ K1JT FN20,,0
1,-10,29,CQ K1JT FN20,,0
2,-10,29,CQ K1JT FN20,,0
1,-9,0,CQ K1JT FN20,,0
2,-9,0,CQ K1JT FN20,,0
1,-9,1,CQ K1JT FN20,,0
2,-9,1,CQ K1JT FN20,,0
1,-9,2,CQ K1JT FN20,,0
2,-9,2,CQ K1JT FN20,,0
1,-9,3,CQ K1JT FN20,,0
2,-9,3,CQ K1JT FN20,,0
1,-9,4,CQ K1JT FN20,,0
2,-9,4,CQ K1JT FN20,,0
1,-9,5,CQ K1JT FN20,,0
2,-9,5,CQ K1JT FN20,,0
1,-9,6,CQ K1JT FN20,,0
2,-9,6,CQ K1JT FN20,,0
1,-9,7,CQ K1JT FN20,,0
2,-9,7,CQ K1JT FN20,,0
1,-9,8,CQ K1JT FN20,,0
2,-9,8,CQ K1JT FN20,,0
1,-9,9,CQ K1JT FN20,,0
2,-9,9,CQ K1JT FN20,,0
1,-9,10,CQ K1JT FN20,,0
2,-9,10,CQ K1JT FN20,,0
1,-9,11,CQ K1JT FN20,,0
2,-9,11,CQ K1JT FN20,,0
1,-9,12,CQ K1JT FN20,,0
2,-9,12,CQ K1JT FN20,,0
1,-9,13,CQ K1JT FN20,,0
2,-9,13,CQ K1JT FN20,,0
1,-9,14,CQ K1JT FN20,,0
2,-9,14,CQ K1JT FN20,,0
1,-9,15,CQ K1JT FN20,,0
2,-9,15,CQ K1JT FN20,,0
1,-9,16,CQ K1JT FN20,,0
2,-9,16,CQ K1JT FN20,,0
1,-9,17,CQ K1JT FN20,,0
2,-9,17,CQ K1JT FN20,,0
1,-9,18,CQ K1JT FN20,,0
2,-9,18,CQ K1JT FN20,,0
1,-9,19,CQ K1JT FN20,,0
2,-9,19,CQ K1JT FN20,,0
1,-9,20,CQ K1JT FN20,,0
2,-9,20,CQ K1JT FN20,,0
1,-9,21,CQ K1JT FN20,,0
2,-9,21,CQ K1JT FN20,,0
1,-9,22,CQ K1JT FN20,,0
2,-9,22,CQ K1JT FN20,,0
1,-9,23,CQ K1JT FN20,,0
2,-9,23,CQ K1JT FN20,,0
1,-9,24,CQ K1JT FN20,,0
2,-9,24,CQ K1JT FN20,,0
1,-9,25,CQ K1JT FN20,,0
2,-9,25,CQ K1JT FN20,,0
1,-9,26,CQ K1JT FN20,,0
2,-9,26,CQ K1JT FN20,,0
1,-9,27,CQ K1JT FN20,,0
2,-9,27,CQ K1JT FN20,,0
1,-9,28,CQ K1JT FN20,,0
2,-9,28,CQ K1JT FN20,,0
1,-9,29,CQ K1JT FN20,,0
2,-9,29,CQ K1JT FN20,,0
1,-8,0,CQ K1JT FN20,,0
2,-8,0,CQ K1JT FN20,,0
1,-8,1,CQ K1JT FN20,,0
2,-8,1,CQ K1JT FN20,,0
1,-8,2,CQ K1JT FN20,,0
2,-8,2,CQ K1JT FN20,,0
1,-8,3,CQ K1JT FN20,,0
2,-8,3,CQ K1JT FN20,,0
1,-8,4,CQ K1JT FN20,,0
2,-8,4,CQ K1JT FN20,,0
1,-8,5,CQ K1JT FN20,,0
2,-8,5,CQ K1JT FN20,,0
1,-8,6,CQ K1JT FN20,,0
2,-8,6,CQ K1JT FN20,,0
1,-8,7,CQ K1JT FN20,,0
2,-8,7,CQ K1JT FN20,,0
1,-8,8,CQ K1JT FN20,,0
2,-8,8,CQ K1JT FN20,,0
1,-8,9,CQ K1JT FN20,,0
2,-8,9,CQ K1JT FN20,,0
1,-8,10,CQ K1JT FN20,,0
2,-8,10,CQ K1JT FN20,,0
1,-8,11,CQ K1JT FN20,,0
2,-8,11,CQ K1JT FN20,,0
1,-8,12,CQ K1JT FN20,,0
2,-8,12,CQ K1JT FN20,,0
1,-8,13,CQ K1JT FN20,,0
2,-8,13,CQ K1JT FN20,,0
1,-8,14,CQ K1JT FN20,,0
2,-8,14,CQ K1JT FN20,,0
1,-8,15,CQ K1JT FN20,,0
2,-8,15,CQ K1JT FN20,,0
1,-8,16,CQ K1JT FN20,,0
2,-8,16,CQ K1JT FN20,,0
1,-8,17,CQ K1JT FN20,,0
2,-8,17,CQ K1JT FN20,,0
1,-8,18,CQ K1JT FN20,,0
2,-8,18,CQ K1JT FN20,,0
1,-8,19,CQ K1JT FN20,,0
2,-8,19,CQ K1JT FN20,,0
1,-8,20,CQ K1JT FN20,,0
2,-8,20,CQ K1JT FN20,,0
1,-8,21,CQ K1JT FN20,,0
2,-8,21,CQ K1JT FN20,,0
1,-8,22,CQ K1JT FN20,,0
2,-8,22,CQ K1JT FN20,,0
1,-8,23,CQ K1JT FN20,,0
2,-8,23,CQ K1JT FN20,,0
1,-8,24,CQ K1JT FN20,,0
2,-8,24,CQ K1JT FN20,,0
1,-8,25,CQ K1JT FN20,,0
2,-8,25,CQ K1JT FN20,,0
1,-8,26,CQ K1JT FN20,,0
2,-8,26,CQ K1JT FN20,,0
1,-8,27,CQ K1JT FN20,,0
2,-8,27,CQ K1JT FN20,,0
1,-8,28,CQ K1JT FN20,,0
2,-8,28,CQ K1JT FN20,,0
1,-8,29,CQ K1JT FN20,,0
2,-8,29,CQ K1JT FN20,,0
1,-7,0,CQ K1JT FN20,,0
2,-7,0,CQ K1JT FN20,,0
1,-7,1,CQ K1JT FN20,,0
2,-7,1,CQ K1JT FN20,,0
1,-7,2,CQ K1JT FN20,,0
2,-7,2,CQ K1JT FN20,,0
1,-7,3,CQ K1JT FN20,,0
2,-7,3,CQ K1JT FN20,,0
1,-7,4,CQ K1JT FN20,,0
2,-7,4,CQ K1JT FN20,,0
1,-7,5,CQ K1JT FN20,,0
2,-7,5,CQ K1JT FN20,,0
1,-7,6,CQ K1JT FN20,,0
2,-7,6,CQ K1JT FN20,,0
1,-7,7,CQ K1JT FN20,,0
2,-7,7,CQ K1JT FN20,,0
1,-7,8,CQ K1JT FN20,,0
2,-7,8,CQ K1JT FN20,,0
1,-7,9,CQ K1JT FN20,,0
2,-7,9,CQ K1JT FN20,,0
1,-7,10,CQ K1JT FN20,,0
2,-7,10,CQ K1JT FN20,,0
1,-7,11,CQ K1JT FN20,,0
2,-7,11,CQ K1JT FN20,,0
1,-7,12,CQ K1JT FN20,,0
2,-7,12,CQ K1JT FN20,,0
1,-7,13,CQ K1JT FN20,,0
2,-7,13,CQ K1JT FN20,,0
1,-7,14,CQ K1JT FN20,,0
2,-7,14,CQ K1JT FN20,,0
1,-7,15,CQ K1JT FN20,,0
2,-7,15,CQ K1JT FN20,,0
1,-7,16,CQ K1JT FN20,,0
2,-7,16,CQ K1JT FN20,,0
1,-7,17,CQ K1JT FN20,,0
2,-7,17,CQ K1JT FN20,,0
1,-7,18,CQ K1JT FN20,,0
2,-7,18,CQ K1JT FN20,,0
1,-7,19,CQ K1JT FN20,,0
2,-7,19,CQ K1JT FN20,,0
1,-7,20,CQ K1JT FN20,,0
2,-7,20,CQ K1JT FN20,,0
1,-7,21,CQ K1JT FN20,,0
2,-7,21,CQ K1JT FN20,,0
1,-7,22,CQ K1JT FN20,,0
2,-7,22,CQ K1JT FN20,,0
1,-7,23,CQ K1JT FN20,,0
2,-7,23,CQ K1JT FN20,,0
1,-7,24,CQ K1JT FN20,,0
2,-7,24,CQ K1JT FN20,,0
1,-7,25,CQ K1JT FN20,,0
2,-7,25,CQ K1JT FN20,,0
1,-7,26,CQ K1JT FN20,,0
2,-7,26,CQ K1JT FN20,,0
1,-7,27,CQ K1JT FN20,,0
2,-7,27,CQ K1JT FN20,,0
1,-7,28,CQ K1JT FN20,,0
2,-7,28,CQ K1JT FN20,,0
1,-7,29,CQ K1JT FN20,,0
2,-7,29,CQ K1JT FN20,,0
1,-6,0,CQ K1JT FN20,,0
2,-6,0,CQ K1JT FN20,,0
1,-6,1,CQ K1JT FN20,,0
2,-6,1,CQ K1JT FN20,,0
1,-6,2,CQ K1JT FN20,,0
2,-6,2,CQ K1JT FN20,,0
1,-6,3,CQ K1JT FN20,,0
2,-6,3,CQ K1JT FN20,,0
1,-6,4,CQ K1JT FN20,,0
2,-6,4,CQ K1JT FN20,,0
1,-6,5,CQ K1JT FN20,,0
2,-6,5,CQ K1JT FN20,,0
1,-6,6,CQ K1JT FN20,,0
2,-6,6,CQ K1JT FN20,,0
1,-6,7,CQ K1JT FN20,,0
2,-6,7,CQ K1JT FN20,,0
1,-6,8,CQ K1JT FN20,,0
2,-6,8,CQ K1JT FN20,,0
1,-6,9,CQ K1JT FN20,,0
2,-6,9,CQ K1JT FN20,,0
1,-6,10,CQ K1JT FN20,,0
2,-6,10,CQ K1JT FN20,,0
1,-6,11,CQ K1JT FN20,,0
2,-6,11,CQ K1JT FN20,,0
1,-6,12,CQ K1JT FN20,,0
2,-6,12,CQ K1JT FN20,,0
1,-6,13,CQ K1JT FN20,,0
2,-6,13,CQ K1JT FN20,,0
1,-6,14,CQ K1JT FN20,,0
2,-6,14,CQ K1JT FN20,,0
1,-6,15,CQ K1JT FN20,,0
