algorithm,snr_db,trial,detected,n_candidates,threshold
sq_det,-12,0,0,0,3.4031667709350586
tfmf_1block,-12,0,0,13,12.746935844421387
tfmf_2block,-12,0,0,12,12.793116569519043
tfmf_2block_k2,-12,0,0,5,12.832636833190918
tfmf_2block_k4,-12,0,0,4,12.898365020751953
tfmf_2block_k7,-12,0,0,4,12.898113250732422
sq_det,-12,1,0,1,3.4031667709350586
tfmf_1block,-12,1,0,16,12.746935844421387
tfmf_2block,-12,1,0,11,12.793116569519043
tfmf_2block_k2,-12,1,0,10,12.832636833190918
tfmf_2block_k4,-12,1,0,8,12.898365020751953
tfmf_2block_k7,-12,1,0,11,12.898113250732422
sq_det,-12,2,0,0,3.4031667709350586
tfmf_1block,-12,2,0,20,12.746935844421387
tfmf_2block,-12,2,0,14,12.793116569519043
tfmf_2block_k2,-12,2,0,11,12.832636833190918
tfmf_2block_k4,-12,2,0,10,12.898365020751953
tfmf_2block_k7,-12,2,0,8,12.898113250732422
sq_det,-12,3,0,0,3.4031667709350586
tfmf_1block,-12,3,0,15,12.746935844421387
tfmf_2block,-12,3,0,11,12.793116569519043
tfmf_2block_k2,-12,3,0,13,12.832636833190918
tfmf_2block_k4,-12,3,0,2,12.898365020751953
tfmf_2block_k7,-12,3,0,4,12.898113250732422
sq_det,-12,4,0,0,3.4031667709350586
tfmf_1block,-12,4,0,7,12.746935844421387
tfmf_2block,-12,4,0,8,12.793116569519043
tfmf_2block_k2,-12,4,0,6,12.832636833190918
tfmf_2block_k4,-12,4,0,5,12.898365020751953
tfmf_2block_k7,-12,4,0,6,12.898113250732422
sq_det,-12,5,0,0,3.4031667709350586
tfmf_1block,-12,5,0,15,12.746935844421387
tfmf_2block,-12,5,0,10,12.793116569519043
tfmf_2block_k2,-12,5,0,14,12.832636833190918
tfmf_2block_k4,-12,5,0,6,12.898365020751953
tfmf_2block_k7,-12,5,0,6,12.898113250732422
sq_det,-12,6,0,0,3.4031667709350586
tfmf_1block,-12,6,0,12,12.746935844421387
tfmf_2block,-12,6,0,15,12.793116569519043
