algorithm,snr_db,trial,detected,n_candidates,threshold
sq_det,-12,0,0,13,2.304680824279785
tfmf_1block,-12,0,0,13,12.746935844421387
tfmf_2block,-12,0,0,12,12.793116569519043
sq_det,-12,1,1,20,2.304680824279785
tfmf_1block,-12,1,0,16,12.746935844421387
tfmf_2block,-12,1,0,11,12.793116569519043
sq_det,-12,2,0,11,2.304680824279785
tfmf_1block,-12,2,0,20,12.746935844421387
tfmf_2block,-12,2,0,14,12.793116569519043
sq_det,-12,3,0,10,2.304680824279785
tfmf_1block,-12,3,0,15,12.746935844421387
tfmf_2block,-12,3,0,11,12.793116569519043
sq_det,-12,4,1,11,2.304680824279785
tfmf_1block,-12,4,0,7,12.746935844421387
tfmf_2block,-12,4,0,8,12.793116569519043
sq_det,-12,5,1,16,2.304680824279785
tfmf_1block,-12,5,0,15,12.746935844421387
tfmf_2block,-12,5,0,10,12.793116569519043
sq_det,-12,6,1,4,2.304680824279785
tfmf_1block,-12,6,0,12,12.746935844421387
tfmf_2block,-12,6,0,15,12.793116569519043
sq_det,-12,7,0,10,2.304680824279785
tfmf_1block,-12,7,0,11,12.746935844421387
tfmf_2block,-12,7,0,5,12.793116569519043
sq_det,-12,8,1,6,2.304680824279785
tfmf_1block,-12,8,0,16,12.746935844421387
tfmf_2block,-12,8,0,13,12.793116569519043
sq_det,-12,9,0,9,2.304680824279785
tfmf_1block,-12,9,0,7,12.746935844421387
tfmf_2block,-12,9,0,7,12.793116569519043
sq_det,-12,10,0,10,2.304680824279785
tfmf_1block,-12,10,0,7,12.746935844421387
tfmf_2block,-12,10,0,11,12.793116569519043
sq_det,-12,11,0,10,2.304680824279785
tfmf_1block,-12,11,0,15,12.746935844421387
tfmf_2block,-12,11,0,12,12.793116569519043
sq_det,-12,12,1,8,2.304680824279785
tfmf_1block,-12,12,0,10,12.746935844421387
tfmf_2block,-12,12,0,10,12.793116569519043
sq_det,-12,13,0,8,2.304680824279785
tfmf_1block,-12,13,0,13,12.746935844421387
tfmf_2block,-12,13,0,6,12.793116569519043
sq_det,-12,14,0,9,2.304680824279785
tfmf_1block,-12,14,0,8,12.746935844421387
tfmf_2block,-12,14,0,13,12.793116569519043
sq_det,-12,15,0,4,2.304680824279785
tfmf_1block,-12,15,0,15,12.746935844421387
tfmf_2block,-12,15,0,11,12.793116569519043
sq_det,-12,16,0,14,2.304680824279785
tfmf_1block,-12,16,0,11,12.746935844421387
