algorithm,snr_db,trial,detected,n_candidates,threshold
sq_det,0,0,0,0,3.4031667709350586
tfmf_1block,0,0,1,11,12.746935844421387
tfmf_2block,0,0,0,14,12.793116569519043
tfmf_2block_k2,0,0,0,18,12.832636833190918
tfmf_2block_k4,0,0,0,11,12.898365020751953
tfmf_2block_k7,0,0,0,9,12.898113250732422
sq_det,0,1,0,0,3.4031667709350586
tfmf_1block,0,1,0,9,12.746935844421387
tfmf_2block,0,1,0,13,12.793116569519043
tfmf_2block_k2,0,1,1,21,12.832636833190918
tfmf_2block_k4,0,1,1,11,12.898365020751953
tfmf_2block_k7,0,1,0,9,12.898113250732422
sq_det,0,2,0,0,3.4031667709350586
tfmf_1block,0,2,0,10,12.746935844421387
tfmf_2block,0,2,0,9,12.793116569519043
tfmf_2block_k2,0,2,0,7,12.832636833190918
tfmf_2block_k4,0,2,1,13,12.898365020751953
tfmf_2block_k7,0,2,1,10,12.898113250732422
sq_det,5,0,1,8,3.4031667709350586
tfmf_1block,5,0,1,54,12.746935844421387
tfmf_2block,5,0,1,74,12.793116569519043
tfmf_2block_k2,5,0,1,176,12.832636833190918
tfmf_2block_k4,5,0,1,189,12.898365020751953
tfmf_2block_k7,5,0,1,128,12.898113250732422
sq_det,5,1,1,8,3.4031667709350586
tfmf_1block,5,1,1,50,12.746935844421387
tfmf_2block,5,1,1,57,12.793116569519043
tfmf_2block_k2,5,1,1,142,12.832636833190918
tfmf_2block_k4,5,1,1,176,12.898365020751953
tfmf_2block_k7,5,1,1,105,12.898113250732422
sq_det,5,2,1,7,3.4031667709350586
tfmf_1block,5,2,1,69,12.746935844421387
tfmf_2block,5,2,1,66,12.793116569519043
tfmf_2block_k2,5,2,1,186,12.832636833190918
tfmf_2block_k4,5,2,1,220,12.898365020751953
tfmf_2block_k7,5,2,1,212,12.898113250732422
